"data";"valor"
"01/01/1995";"-1411,4"
"01/02/1995";"-2053,4"
"01/03/1995";"-2246,2"
"01/04/1995";"-2878,6"
"01/05/1995";"-1450,9"
"01/06/1995";"-2327,1"
"01/07/1995";"-1146,0"
"01/08/1995";"-701,2"
"01/09/1995";"-574,2"
"01/10/1995";"-1946,7"
"01/11/1995";"-811,1"
"01/12/1995";"-1165,5"
"01/01/1996";"-1283,6"
"01/02/1996";"-683,9"
"01/03/1996";"-1557,4"
"01/04/1996";"-1739,2"
"01/05/1996";"-941,0"
"01/06/1996";"-1634,7"
"01/07/1996";"-2407,6"
"01/08/1996";"-1275,3"
"01/09/1996";"-2180,0"
"01/10/1996";"-3787,8"
"01/11/1996";"-2032,2"
"01/12/1996";"-4320,3"
"01/01/1997";"-467,6"
"01/02/1997";"-2177,5"
"01/03/1997";"-2349,6"
"01/04/1997";"-3916,9"
"01/05/1997";"-1748,9"
"01/06/1997";"-2569,9"
"01/07/1997";"-3242,5"
"01/08/1997";"-1887,1"
"01/09/1997";"-2530,3"
"01/10/1997";"-3965,0"
"01/11/1997";"-3387,9"
"01/12/1997";"-3890,2"
"01/01/1998";"-2293,1"
"01/02/1998";"-1628,4"
"01/03/1998";"-2554,3"
"01/04/1998";"-2962,1"
"01/05/1998";"-2172,6"
"01/06/1998";"-2596,6"
"01/07/1998";"-2196,9"
"01/08/1998";"-1872,1"
"01/09/1998";"-5011,6"
"01/10/1998";"-5098,1"
"01/11/1998";"-2827,8"
"01/12/1998";"-3779,3"
"01/01/1999";"-2560,4"
"01/02/1999";"-1120,6"
"01/03/1999";"-2160,7"
"01/04/1999";"-2731,6"
"01/05/1999";"-1708,8"
"01/06/1999";"-3054,4"
"01/07/1999";"-1677,5"
"01/08/1999";"-2121,5"
"01/09/1999";"-1476,6"
"01/10/1999";"-2607,3"
"01/11/1999";"-2440,3"
"01/12/1999";"-3123,8"
"01/01/2000";"-1049,0"
"01/02/2000";"-1306,8"
"01/03/2000";"-2049,6"
"01/04/2000";"-3122,3"
"01/05/2000";"-1767,2"
"01/06/2000";"-2596,0"
"01/07/2000";"-1482,8"
"01/08/2000";"-1648,5"
"01/09/2000";"-1825,4"
"01/10/2000";"-3727,4"
"01/11/2000";"-2846,9"
"01/12/2000";"-3108,9"
"01/01/2001";"-2425,9"
"01/02/2001";"-1927,2"
"01/03/2001";"-2764,5"
"01/04/2001";"-2502,8"
"01/05/2001";"-2363,4"
"01/06/2001";"-2248,7"
"01/07/2001";"-2159,1"
"01/08/2001";"-1263,9"
"01/09/2001";"-1032,2"
"01/10/2001";"-2607,8"
"01/11/2001";"-1670,2"
"01/12/2001";"-1924,4"
"01/01/2002";"-1305,0"
"01/02/2002";"-1201,4"
"01/03/2002";"-1136,2"
"01/04/2002";"-2126,3"
"01/05/2002";"-2042,1"
"01/06/2002";"-1425,2"
"01/07/2002";"-707,5"
"01/08/2002";"169,8"
"01/09/2002";"1077,2"
"01/10/2002";"-183,0"
"01/11/2002";"-306,9"
"01/12/2002";"-220,4"
"01/01/2003";"34,6"
"01/02/2003";"-331,7"
"01/03/2003";"41,3"
"01/04/2003";"-1102,3"
"01/05/2003";"717,5"
"01/06/2003";"311,7"
"01/07/2003";"589,7"
"01/08/2003";"1082,2"
"01/09/2003";"1144,1"
"01/10/2003";"-99,9"
"01/11/2003";"-361,1"
"01/12/2003";"167,2"
"01/01/2004";"514,6"
